Arrest Key,Relates Incident Number,Day of the Week,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Arrest Type,Weapon Code,Street Number,Street Name,City,Location
49697,18007658,Wed,01/16/2019 12:00:00 AM,134,27,Male,Black,,Warrant,,2200,RIDGE AV,EVANSTON,"(42.0584126095312, -87.68588377902304)"
49698,18008125,Wed,01/16/2019 12:00:00 AM,134,27,Male,Black,,Warrant,None,2200,RIDGE AV,EVANSTON,"(42.0584126095312, -87.68588377902304)"
49699,18008814,Wed,01/16/2019 12:00:00 AM,134,27,Male,Black,,Warrant,None,2200,RIDGE AV,EVANSTON,"(42.0584126095312, -87.68588377902304)"
49703,18010987,Tue,01/15/2019 12:00:00 AM,1740,17,Male,White,,Taken into Custody,Personal (Hands/Fist/Feet),1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49729,18008982,Wed,01/23/2019 12:00:00 AM,1525,27,Male,Black,,Warrant,Unknown,0,SEYMOUR AV,GRAYSLAKE,
49730,18005238,Thu,01/24/2019 12:00:00 AM,1410,39,Male,Black,Not Hispanic,Warrant,None,300,CHICAGO AV,EVANSTON,"(42.02481706824564, -87.67764492670258)"
49734,18008551,Thu,01/24/2019 12:00:00 AM,1919,27,Male,Black,,Warrant,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49753,18007039,Mon,02/04/2019 12:00:00 AM,1557,31,Male,White,,Warrant,None,400,HOWARD ST,EVANSTON,"(42.01939792140859, -87.67510239982812)"
49754,18007335,Mon,02/04/2019 12:00:00 AM,1557,31,Male,White,,On View,None,400,HOWARD ST,EVANSTON,"(42.01939792140859, -87.67510239982812)"
49759,18011610,Tue,02/05/2019 12:00:00 AM,1149,48,Female,White,,Warrant,,3300,HARTZELL ST,EVANSTON,"(42.065515260029855, -87.72626851879919)"
49760,18010524,Tue,02/05/2019 12:00:00 AM,1117,48,Female,White,,Warrant,,3300,HARTZELL ST,EVANSTON,"(42.065515260029855, -87.72626851879919)"
49764,18011210,Mon,02/04/2019 12:00:00 AM,1600,29,Male,White,,Taken into Custody,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49785,18009739,Mon,02/11/2019 12:00:00 AM,920,36,Male,White,,Taken into Custody,,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49788,18007210,Sun,02/10/2019 12:00:00 AM,1302,31,Male,White,,Taken into Custody,None,500,GEORGETOWN,WOOD DALE,
